Raw;Country;RegionType;Region;CountyType;County;Included;LocalityType;Locality;StreetType;Street;HousingType;Housing;HostelType;Hostel;HouseNumberType;HouseNumber;HouseNumberAdditionally;SectionType;Section;ApartmentType;Apartment;RoomType;Room;Sector;FloorType;Floor;PostCode;Manually;NotAddress;Comment;AdditionalData
харківська 64033 кегичівський калинівка відсутня;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 29}];;;[{'start': 30, 'end': 39}];;;;;;;;;;;;;;;;;;;[{'start': 11, 'end': 16}];;;[{'start': 40, 'end': 48}];
дніпропетровська 49000 амур-нижньодніпровський дніпро донецьке шосе 15 276;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 46}];;;[{'start': 47, 'end': 53}];[{'start': 63, 'end': 67}];[{'start': 54, 'end': 62}];;;;;;[{'start': 68, 'end': 70}];;;;;[{'start': 71, 'end': 74}];;;;;;[{'start': 17, 'end': 22}];;;;
київ київ вул. я колоса д. 21 буд. кв. 1;;;[{'start': 0, 'end': 4}];;;;;[{'start': 5, 'end': 9}];[{'start': 10, 'end': 14}];[{'start': 15, 'end': 16}, {'start': 17, 'end': 23}];;;;;[{'start': 30, 'end': 34}];[{'start': 27, 'end': 29}];;;;[{'start': 35, 'end': 38}];[{'start': 39, 'end': 40}];;;;;;;;;;
дніпропетровська 52331 криничанський с. червона-українка вул. зелена 8;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;[{'start': 37, 'end': 39}];[{'start': 40, 'end': 56}];[{'start': 57, 'end': 61}];[{'start': 62, 'end': 68}];;;;;;[{'start': 69, 'end': 70}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
херсонська 10000 білозерський петрівське вул. харченко 22;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 29}];;;[{'start': 30, 'end': 40}];[{'start': 41, 'end': 45}];[{'start': 46, 'end': 54}];;;;;;[{'start': 55, 'end': 57}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
полтавська 38630 котелевський сел. милорадове вул. шевченка 21;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 29}];;[{'start': 30, 'end': 34}];[{'start': 35, 'end': 45}];[{'start': 46, 'end': 50}];[{'start': 51, 'end': 59}];;;;;;[{'start': 60, 'end': 62}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
одеська 67500 комінтернівський комінтернівське вулиця київська 5;;;[{'start': 0, 'end': 7}];;[{'start': 14, 'end': 30}];;;[{'start': 31, 'end': 46}];[{'start': 47, 'end': 53}];[{'start': 54, 'end': 62}];;;;;;[{'start': 63, 'end': 64}];;;;;;;;;;;[{'start': 8, 'end': 13}];;;;
одеська 65000 м. одеса вул. ак. глушко 22 104;;;[{'start': 0, 'end': 7}];;;;[{'start': 14, 'end': 16}];[{'start': 17, 'end': 22}];[{'start': 23, 'end': 27}];[{'start': 28, 'end': 38}];;;;;;[{'start': 39, 'end': 41}];;;;;[{'start': 42, 'end': 45}];;;;;;[{'start': 8, 'end': 13}];;;;
дніпропетровська 52200 м. жовті води вул. горького 23 26;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 50}];;;;;;[{'start': 51, 'end': 53}];;;;;[{'start': 54, 'end': 56}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 49000 дніпро пр. ім. газетиправда 106 526;;;[{'start': 0, 'end': 16}];;;;;[{'start': 23, 'end': 29}];[{'start': 30, 'end': 33}];[{'start': 34, 'end': 37}, {'start': 38, 'end': 50}];;;;;;[{'start': 51, 'end': 54}];;;;;[{'start': 55, 'end': 58}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 11111 м. дніпропетровськ вул. промислова 16 22;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 41}];[{'start': 42, 'end': 46}];[{'start': 47, 'end': 57}];;;;;;[{'start': 58, 'end': 60}];;;;;[{'start': 61, 'end': 63}];;;;;;[{'start': 17, 'end': 22}];;;;
донецька 86783 харцизький зугрес к. маркса 16 1;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 25}];;;[{'start': 26, 'end': 32}];;[{'start': 33, 'end': 42}];;;;;;[{'start': 43, 'end': 45}];;;;;[{'start': 46, 'end': 47}];;;;;;[{'start': 9, 'end': 14}];;;;
київська 07820 бородянський пісківка вул. ніни сосніної 11-б 7;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 27}];;;[{'start': 28, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 55}];;;;;;[{'start': 56, 'end': 60}];;;;;[{'start': 61, 'end': 62}];;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 49000 индустриальный днепропетровск ул. дальневосточная 64 2;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 37}];;;[{'start': 38, 'end': 52}];[{'start': 53, 'end': 56}];[{'start': 57, 'end': 72}];;;;;;[{'start': 73, 'end': 75}];;;;;[{'start': 76, 'end': 77}];;;;;;[{'start': 17, 'end': 22}];;;;
запорізька 69000 запоріжжя радіаторна 27 а 32;;;[{'start': 0, 'end': 10}];;;;;[{'start': 17, 'end': 26}];;[{'start': 27, 'end': 37}];;;;;;[{'start': 38, 'end': 40}, {'start': 41, 'end': 42}];;;;;[{'start': 43, 'end': 45}];;;;;;[{'start': 11, 'end': 16}];;;;
харківська 61000 жовтневий харків вул. володимирська 15;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 26}];;;[{'start': 27, 'end': 33}];[{'start': 34, 'end': 38}];[{'start': 39, 'end': 52}];;;;;;[{'start': 53, 'end': 55}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 51200 новомосковський м. новомосковськ пров. леваневського 60;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 38}];;[{'start': 39, 'end': 41}];[{'start': 42, 'end': 55}];[{'start': 56, 'end': 61}];[{'start': 62, 'end': 75}];;;;;;[{'start': 76, 'end': 78}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
київська 08161 києво-святошинський тарасівка вул. островського 22 а;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 34}];;;[{'start': 35, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 62}];;;;;;[{'start': 63, 'end': 65}, {'start': 66, 'end': 67}];;;;;;;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 49000 м. дніпро ж/м тополь 22 31;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 32}];[{'start': 33, 'end': 36}];[{'start': 37, 'end': 43}];;;;;;[{'start': 44, 'end': 46}];;;;;[{'start': 47, 'end': 49}];;;;;;[{'start': 17, 'end': 22}];;;;
тернопільська 47140 шумський бриків вул. ----- буд. -;;;[{'start': 0, 'end': 13}];;[{'start': 20, 'end': 28}];;;[{'start': 29, 'end': 35}];[{'start': 36, 'end': 40}];[{'start': 41, 'end': 46}];;;;;[{'start': 47, 'end': 51}];[{'start': 52, 'end': 53}];;;;;;;;;;;[{'start': 14, 'end': 19}];;;;
чернігівська 17531 прилуцький смош вул. берегова буд. 50 корпус - кв. -;;;[{'start': 0, 'end': 12}];;[{'start': 19, 'end': 29}];;;[{'start': 30, 'end': 34}];[{'start': 35, 'end': 39}];[{'start': 40, 'end': 48}];[{'start': 57, 'end': 63}];[{'start': 64, 'end': 65}];;;[{'start': 49, 'end': 53}];[{'start': 54, 'end': 56}];;;;[{'start': 66, 'end': 69}];[{'start': 70, 'end': 71}];;;;;;[{'start': 13, 'end': 18}];;;;
